tractid,ntaname,totpop00,pop2400,NHW00,A2034y00,colleg00,mdfami00,mdrent00,J,totpop16,pop2416,NHW16,A2034y16,College16,mdfami16,mdrent16,R,NHW0016,A2034y0016,College0016,mdfami0016,mdrent0016,X,scoresraw,score0.025,score0.5,score0.975,Borough_Code,Borough,NHW00PCT,NHW16PCT,NHWPCTDIFF,POSNHWDIFF
36047008400,Sunset Park West,3229,1917,350,895,290,29957,735,NA,3784,2611,756,881,483,44444,1266,NA,0.843192389,-0.160018366,0.223,0.48359315,0.72244898,NA,-0.42269719100000003,-1.026400261,0.052549463,1.139040902,36047,Brooklyn,0.10839269123567669,0.19978858350951373,0.09139589227383704,TRUE
36047008500,Carroll Gardens-Columbia Street-Red Hook,7278,3846,40,1483,129,13575,214,NA,7281,4320,111,1746,216,21068,395,NA,1.773856613,0.176858121,0.491,0.551970534,0.845794393,NA,0.739777157,-0.035548352,1.192208396,2.41145178,36047,Brooklyn,0.005496015388843089,0.015245158632056036,0.009749143243212948,TRUE
36047008800,Sunset Park East,2688,1677,538,767,243,25727,686,NA,3399,2276,647,1078,676,54195,1436,NA,-0.048957106,0.111479602,1.05,1.106541765,1.093294461,NA,1.384148595,-0.457550939,0.623935801,1.694610347,36047,Brooklyn,0.20014880952380953,0.19035010297146218,-0.009798706552347353,FALSE
36047009000,Sunset Park East,3174,1843,525,1004,169,27546,696,NA,3206,2007,296,827,303,37661,1343,NA,-0.44181802,-0.184516457,0.646,0.36720395,0.929597701,NA,-0.474829684,-1.305028106,-0.239012531,0.833498403,36047,Brooklyn,0.16540642722117202,0.09232688708671241,-0.07307954013445961,FALSE
36047009200,Sunset Park East,5241,3131,888,1354,428,29419,673,NA,5488,3473,384,1467,573,36587,1243,NA,-0.587030179,0.034692989,0.207,0.243652062,0.846953938,NA,-0.897591415,-1.398680514,-0.452714212,0.521425368,36047,Brooklyn,0.16943331425300515,0.06997084548104957,-0.09946246877195558,FALSE
36047009400,Sunset Park East,4855,2944,1656,1088,421,31509,737,NA,5571,3767,847,1394,810,35694,1319,NA,-0.55426252,0.116580282,0.504,0.132819195,0.789687924,NA,-0.708199738,-1.616197268,-0.665772345,0.298801441,36047,Brooklyn,0.341091658084449,0.15203733620534912,-0.1890543218790999,FALSE
36047009600,Sunset Park East,5900,3425,794,1648,372,30773,731,NA,6103,4145,1048,1459,601,34271,1339,NA,0.27599632,-0.144132123,0.335,0.113671075,0.831737346,NA,-0.762672843,-1.345284514,-0.434105875,0.480961409,36047,Brooklyn,0.13457627118644067,0.17171882680648862,0.03714255562004795,TRUE
36047009800,Sunset Park East,6121,3416,519,1721,252,25841,676,NA,8144,4825,399,2162,386,30893,1303,NA,-0.422183217,-0.055809919,0.084,0.19550327,0.927514793,NA,-0.98032642,-1.497903734,-0.594168781,0.295590371,36047,Brooklyn,0.0847900669825192,0.04899312377210216,-0.03579694321041704,FALSE
36047010000,Sunset Park East,6271,3687,1002,1500,277,31638,716,NA,6642,4304,524,1636,482,25433,1202,NA,-0.506256382,0.029745659,0.491,-0.196124913,0.67877095,NA,-1.504193115,-1.82342863,-0.928229076,-0.056775369,36047,Brooklyn,0.15978312868760963,0.07889190003011141,-0.08089122865749822,FALSE
36047010100,Sunset Park West,4095,2476,1025,1289,263,34219,723,NA,4297,2947,1057,1274,940,46118,1228,NA,-0.017257644,-0.058099423,2.003,0.347730793,0.698478562,NA,0.395067602,-0.53238749,0.691082005,1.879029748,36047,Brooklyn,0.2503052503052503,0.24598557132883406,-0.004319678976416247,FALSE
36047010200,Sunset Park East,4616,2895,982,1125,252,28802,717,NA,5291,3664,269,1642,447,41480,1221,NA,-0.761015997,0.273352569,0.402,0.440177765,0.70292887,NA,-0.598561031,-1.723486229,-0.783552472,0.126137246,36047,Brooklyn,0.21273830155979204,0.05084105084105084,-0.1618972507187412,FALSE
36047010400,Sunset Park East,5530,3721,993,1519,421,24228,723,NA,5904,4007,353,1513,597,32318,1188,NA,-0.667030665,-0.067046632,0.317,0.333911177,0.643153527,NA,-1.205159462,-2.058041741,-1.064410809,-0.069924176,36047,Brooklyn,0.17956600361663652,0.059789972899728996,-0.11977603071690753,FALSE
36047010600,Sunset Park East,5460,3402,694,1275,379,27948,680,NA,5240,3510,320,1511,544,34309,1147,NA,-0.519545945,0.234854064,0.391,0.227601259,0.686764706,NA,-0.637030765,-1.701315171,-0.802979147,0.090601388,36047,Brooklyn,0.1271062271062271,0.061068702290076333,-0.06603752481615077,FALSE
36047010800,Sunset Park East,4803,2847,932,1171,411,28188,682,NA,4108,2803,406,853,384,27370,1028,NA,-0.490678191,-0.148324238,-0.051,-0.029019441,0.507331378,NA,-2.28504744,-2.222857957,-1.272197956,-0.352995768,36047,Brooklyn,0.1940453882989798,0.0988315481986368,-0.09521384010034299,FALSE
36047011000,Sunset Park East,1987,1337,562,414,172,30179,757,NA,2670,1609,571,801,222,55341,1453,NA,-0.243887534,0.439855072,0.073,0.833758574,0.919418758,NA,0.42964734,-0.987978486,0.032367779,1.043401692,36047,Brooklyn,0.2828384499245093,0.21385767790262172,-0.06898077202188757,FALSE
36047011200,Sunset Park East,6242,3523,2214,1552,388,21667,597,NA,6707,3886,2886,1346,750,31520,1127,NA,0.213149066,-0.192860129,0.752,0.45474685,0.887772194,NA,-0.028117555,-1.213744115,-0.301570682,0.591913389,36047,Brooklyn,0.3546940083306632,0.4302967049351424,0.07560269660447916,TRUE
36047011400,Borough Park,4116,2543,2696,743,675,37750,613,NA,4664,2943,2506,1092,671,43643,1159,NA,-0.179690005,0.297031874,-0.141,0.15610596,0.890701468,NA,-0.748093537,-1.634483159,-0.740658696,0.131072332,36047,Brooklyn,0.6550048590864918,0.5373070325900514,-0.11769782649644034,FALSE
36047011600,Borough Park,4259,2773,1205,849,260,29321,685,NA,4189,2773,446,1269,269,34213,1150,NA,-0.623690579,0.519676724,0.035,0.166842877,0.678832117,NA,-0.894473155,-1.724585856,-0.878956714,-0.020068246,36047,Brooklyn,0.28293026532049775,0.10646932442110289,-0.17646094089939485,FALSE
36047011700,Park Slope-Gowanus,2874,1733,767,952,319,33233,755,NA,2796,2145,1687,1118,1424,64750,1711,NA,1.26083733,0.207131136,2.607,0.948364577,1.266225166,NA,2.651659606,1.239080402,2.241812595,3.255678942,36047,Brooklyn,0.26687543493389004,0.6033619456366237,0.33648651070273367,TRUE
36047011800,Sunset Park East,1923,1331,503,526,138,24943,681,NA,2072,1386,86,528,97,28600,1232,NA,-0.841320801,-0.068382342,-0.325,0.146614281,0.809104258,NA,-2.354433014,-2.328461145,-1.419688876,-0.501974966,36047,Brooklyn,0.26157046281851276,0.041505791505791506,-0.22006467131272126,FALSE
36047011900,Park Slope-Gowanus,1453,1103,590,507,256,28569,739,NA,1654,1299,893,625,716,87841,1626,NA,0.329626176,0.082934444,1.375,2.074696349,1.200270636,NA,2.410684905,0.807043278,1.663289048,2.563535299,36047,Brooklyn,0.4060564349621473,0.5399032648125756,0.13384682985042828,TRUE
36047012000,Sunset Park East,1417,967,157,445,81,31484,739,NA,1305,881,73,323,96,56484,1291,NA,-0.495126534,-0.211862758,0.301,0.794054123,0.746955345,NA,-0.660431423,-1.747356537,-0.842915567,0.079827984,36047,Brooklyn,0.11079745942131264,0.055938697318007664,-0.054858762103304974,FALSE
36047012100,Park Slope-Gowanus,1715,1144,550,501,220,35875,815,NA,1801,1444,947,749,904,100357,2046,NA,0.639599213,0.423621386,2.255,1.797407666,1.510429448,NA,3.464928508,1.401058059,2.477991344,3.534246883,36047,Brooklyn,0.3206997084548105,0.5258189894503054,0.20511928099549487,TRUE
36047012200,Sunset Park West,5131,2952,1130,1372,312,31483,723,NA,5787,3688,420,1620,413,36887,1192,NA,-0.67045147,0.04691021,0.06,0.171648191,0.64868603,NA,-1.510090344,-1.98759578,-1.096712227,-0.208118459,36047,Brooklyn,0.22022997466380823,0.07257646448937273,-0.1476535101744355,FALSE
36047012600,Bay Ridge,2407,1599,1157,519,301,33217,748,NA,2852,1900,824,811,513,46522,1370,NA,-0.398936409,0.318803422,0.434,0.400547912,0.831550802,NA,0.00828544,-1.379241909,-0.547689521,0.305689579,36047,Brooklyn,0.48068134607395097,0.28892005610098176,-0.1917612899729692,FALSE
36047012700,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3405,2081,337,925,341,19675,405,NA,4204,3145,1169,1510,1327,48889,824,NA,1.80956458,0.322177077,1.575,1.484828463,1.034567901,NA,2.596317643,0.825163876,1.773165683,2.721943464,36047,Brooklyn,0.09897209985315712,0.2780685061845861,0.17909640633142898,TRUE
36047012801,Dyker Heights,1955,1239,982,456,208,49688,722,NA,2139,1538,696,542,380,53672,1346,NA,-0.352210761,0.086351632,0.472,0.080180325,0.864265928,NA,-0.591739103,-1.711104069,-0.787190924,0.115056719,36047,Brooklyn,0.5023017902813299,0.32538569424964936,-0.17691609603168057,FALSE
36047012901,Park Slope-Gowanus,2276,1665,841,819,759,49476,784,NA,2462,1949,1411,845,1388,84063,2191,NA,0.551012247,-0.046200663,0.562,0.699066214,1.794642857,NA,1.388800385,0.248737843,1.259201546,2.257728907,36047,Brooklyn,0.3695079086115993,0.5731112916328188,0.2036033830212195,TRUE
36047012902,Park Slope-Gowanus,2097,1602,1256,857,956,58833,1029,NA,1908,1512,1175,713,1113,123438,2167,NA,0.028177953,-0.085615684,0.234,1.098108205,1.105928086,NA,0.509501212,-0.255487155,0.709386346,1.685849754,36047,Brooklyn,0.5989508822126848,0.6158280922431866,0.0168772100305018,TRUE
