nta_id,total_pop,mean_income,below_poverty_line_count,below_poverty_line_and_50_count,mean_rent,unemployment_count,latinx_count,white_count,black_count,native_count,asian_count,naturalized_citizen_count,noncitizen_count,uninsured_count,school_count,eviction_count,store_count,sub_count,bus_count,mean_ridership,perc_covered_by_transit,nta_type,Name,transportation_desert_4cat,transportation_desert_3cat,borough.x,borough.y,geometry
BK0302,86386,55908.52173913043,19202,7653,1321.3478260869565,3047,13759,11884,54962,227,3326,9899,7744,6857,31,824,188,4,163,10791,93.90658687499325,0,Bedford-Stuyvesant (East),Excellent,Excellent,Brooklyn,Brooklyn,"list(c(-73.928043, -73.928507, -73.931145, -73.931458, -73.931929, -73.933118, -73.935222, -73.93676, -73.938177, -73.938568, -73.938902, -73.941149, -73.941931, -73.944388, -73.944096, -73.943949, -73.943526, -73.943388, -73.943243, -73.9431, -73.942951, -73.942662, -73.942516, -73.942369, -73.942222, -73.942076, -73.941932, -73.941785, -73.94164, -73.941494, -73.941348, -73.941204, -73.941058, -73.940914, -73.940769, -73.94062, -73.940477, -73.940328, -73.943262, -73.943973, -73.944141, -73.941369, 
-73.938593, -73.935858, -73.930322, -73.926594, -73.923779, -73.921816, -73.921646, -73.916301, -73.916393, -73.91654, -73.916687, -73.916831, -73.916977, -73.917122, -73.917266, -73.917558, -73.917701, -73.91785, -73.917996, -73.918046, -73.918294, -73.918783, -73.92055, -73.921214, -73.922072, -73.923979, -73.924127, -73.924392, -73.925365, -73.92645, -73.927071, -73.927811, -73.928043, 40.692904, 40.693166, 40.694674, 40.694855, 40.695115, 40.695791, 40.696986, 40.697831, 40.698641, 40.698848, 
40.699037, 40.700281, 40.700725, 40.700425, 40.698973, 40.698222, 40.696031, 40.695289, 40.694558, 40.693823, 40.693091, 40.691624, 40.690892, 40.69016, 40.689428, 40.688697, 40.687963, 40.687228, 40.686497, 40.685764, 40.685031, 40.6843, 40.683567, 40.682833, 40.6821, 40.68137, 40.680635, 40.67989, 40.680051, 40.680088, 40.678237, 40.678093, 40.67797, 40.677817, 40.677485, 40.677278, 40.677118, 40.677019, 40.67887, 40.678577, 40.678906, 40.679637, 40.680371, 40.681101, 40.681834, 40.682568, 40.683303, 
40.684767, 40.6855, 40.686233, 40.686965, 40.687213, 40.687357, 40.687626, 40.688641, 40.689019, 40.68949, 40.689275, 40.690005, 40.690831, 40.691367, 40.692002, 40.692346, 40.692774, 40.692904))"
BK0401,53557,61372.46153846154,13670,4796,1637.923076923077,1711,32010,13038,3278,86,3918,7266,11027,8640,13,273,121,5,68,6259,100,0,Bushwick (West),Excellent,Excellent,Brooklyn,Brooklyn,"list(c(-73.926089, -73.928738, -73.931155, -73.932698, -73.933523, -73.933951, -73.936982, -73.93763, -73.94042, -73.941931, -73.941149, -73.938902, -73.938568, -73.938177, -73.93676, -73.935222, -73.933118, -73.931929, -73.931458, -73.931145, -73.928507, -73.928043, -73.927811, -73.926481, -73.927497, -73.926499, -73.92575, -73.924995, -73.924249, -73.922271, -73.920824, -73.920074, -73.919321, -73.917872, -73.916316, -73.915565, -73.914815, -73.914061, -73.911422, -73.912904, -73.911807, -73.913292, 
-73.914031, -73.914771, -73.915513, -73.916253, -73.917737, -73.919222, -73.91996, -73.921892, -73.924169, -73.926089, 40.70568, 40.704717, 40.703773, 40.703171, 40.702849, 40.702674, 40.70191, 40.701739, 40.701077, 40.700725, 40.700281, 40.699037, 40.698848, 40.698641, 40.697831, 40.696986, 40.695791, 40.695115, 40.694855, 40.694674, 40.693166, 40.692904, 40.692774, 40.694141, 40.694697, 40.695712, 40.695285, 40.694855, 40.694429, 40.696443, 40.697918, 40.69749, 40.697061, 40.698537, 40.700122, 
40.699693, 40.699266, 40.698838, 40.701487, 40.702362, 40.703435, 40.704313, 40.704749, 40.705189, 40.705626, 40.706066, 40.706943, 40.707815, 40.708257, 40.709396, 40.707394, 40.70568))"
BK0402,59406,51731.75,14677,5814,1494,1865,30952,8268,16825,66,1956,9091,9318,6082,17,406,120,7,91,8294,100,0,Bushwick (East),Excellent,Excellent,Brooklyn,Brooklyn,"list(c(-73.914061, -73.914815, -73.915565, -73.916316, -73.917872, -73.919321, -73.920074, -73.920824, -73.922271, -73.924249, -73.924995, -73.92575, -73.926499, -73.927497, -73.926481, -73.927811, -73.927071, -73.92645, -73.925365, -73.924392, -73.924127, -73.923979, -73.922072, -73.921214, -73.92055, -73.918783, -73.918294, -73.918046, -73.916046, -73.91529, -73.914701, -73.913037, -73.912273, -73.911512, -73.909275, -73.90886, -73.908517, -73.907018, -73.905493, -73.904791, -73.904046, -73.902622, 
-73.902822, -73.903903, -73.905433, -73.904494, -73.905343, -73.904142, -73.901805, -73.901241, -73.902073, -73.904288, -73.905043, -73.9058, -73.90426, -73.906117, -73.908022, -73.908774, -73.911036, -73.911808, -73.910679, -73.911422, -73.914061, 40.698838, 40.699266, 40.699693, 40.700122, 40.698537, 40.697061, 40.69749, 40.697918, 40.696443, 40.694429, 40.694855, 40.695285, 40.695712, 40.694697, 40.694141, 40.692774, 40.692346, 40.692002, 40.691367, 40.690831, 40.690005, 40.689275, 40.68949, 40.689019, 
40.688641, 40.687626, 40.687357, 40.687213, 40.686072, 40.685645, 40.685317, 40.684368, 40.683935, 40.683505, 40.682235, 40.681994, 40.681804, 40.680948, 40.680037, 40.679641, 40.67922, 40.680664, 40.682353, 40.682946, 40.68366, 40.686299, 40.68682, 40.688568, 40.690766, 40.691438, 40.691999, 40.693278, 40.693704, 40.694128, 40.6957, 40.69675, 40.697825, 40.698255, 40.699532, 40.699938, 40.701046, 40.701487, 40.698838))"
BK0471,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,100,7,The Evergreens Cemetery,Excellent,Excellent,Brooklyn,Brooklyn,"list(c(-73.905433, -73.903903, -73.902822, -73.902622, -73.900283, -73.897769, -73.897494, -73.896615, -73.896518, -73.901162, -73.901805, -73.904142, -73.905343, -73.904494, -73.905433, 40.68366, 40.682946, 40.682353, 40.680664, 40.679442, 40.679926, 40.680074, 40.682008, 40.682397, 40.687878, 40.690766, 40.688568, 40.68682, 40.686299, 40.68366))"
BK0501,40908,54358.692307692305,8445,4173,1433.7142857142858,800,27655,1307,8804,16,2149,9535,7573,2602,7,387,97,3,47,3568,99.96957275693224,0,Cypress Hills,Excellent,Excellent,Brooklyn,Brooklyn,"list(c(-73.867018, -73.867277, -73.868059, -73.870128, -73.870948, -73.872603, -73.874054, -73.876681, -73.879075, -73.882203, -73.886505, -73.888191, -73.888924, -73.889607, -73.890878, -73.892523, -73.8942, -73.896518, -73.896615, -73.897494, -73.897769, -73.900283, -73.902622, -73.904046, -73.900627, -73.89999, -73.896537, -73.896218, -73.894388, -73.893484, -73.891672, -73.889875, -73.889006, -73.888256, -73.887371, -73.885668, -73.884854, -73.883226, -73.882331, -73.880505, -73.880609, -73.879279, 
-73.878379, -73.877429, -73.877339, -73.876096, -73.874871, -73.873604, -73.873276, -73.8712, -73.87157, -73.869808, -73.868132, -73.866295, -73.866598, -73.867018, 40.68683, 40.687745, 40.691184, 40.690709, 40.690502, 40.689921, 40.689299, 40.688088, 40.686882, 40.68536, 40.683349, 40.682556, 40.683126, 40.684214, 40.684543, 40.683424, 40.685309, 40.682397, 40.682008, 40.680074, 40.679926, 40.679442, 40.680664, 40.67922, 40.677265, 40.6769, 40.678594, 40.677358, 40.67763, 40.677762, 40.678031, 40.678302, 
40.678557, 40.675625, 40.675756, 40.676009, 40.676129, 40.67637, 40.676501, 40.676766, 40.679111, 40.679487, 40.679742, 40.680017, 40.680055, 40.680456, 40.68082, 40.681121, 40.679921, 40.680222, 40.681686, 40.682187, 40.682666, 40.683189, 40.68527, 40.68683))"
BK0502,41261,41556,12240,4568,1297.2307692307693,1676,14613,976,24136,53,587,7524,5689,2899,15,668,76,6,60,2604,100,0,East New York (North),Excellent,Excellent,Brooklyn,Brooklyn,"list(c(-73.89999, -73.900792, -73.902535, -73.903475, -73.902289, -73.901982, -73.901668, -73.900851, -73.899076, -73.897233, -73.896316, -73.894439, -73.893446, -73.892526, -73.890694, -73.88977, -73.888889, -73.886183, -73.883597, -73.882782, -73.878489, -73.878871, -73.874231, -73.874624, -73.874957, -73.875275, -73.875588, -73.876565, -73.877339, -73.877429, -73.878379, -73.879279, -73.880609, -73.880505, -73.882331, -73.883226, -73.884854, -73.885668, -73.887371, -73.888256, -73.889006, -73.889875, 
-73.891672, -73.893484, -73.894388, -73.896218, -73.896537, -73.89999, 40.6769, 40.676572, 40.675884, 40.675507, 40.670936, 40.66967, 40.668413, 40.665346, 40.665608, 40.665878, 40.666019, 40.666297, 40.666446, 40.666581, 40.666852, 40.66699, 40.66712, 40.667521, 40.667905, 40.668026, 40.668655, 40.670195, 40.670863, 40.672389, 40.673651, 40.674918, 40.676189, 40.68018, 40.680055, 40.680017, 40.679742, 40.679487, 40.679111, 40.676766, 40.676501, 40.67637, 40.676129, 40.676009, 40.675756, 40.675625, 
40.678557, 40.678302, 40.678031, 40.677762, 40.67763, 40.677358, 40.678594, 40.6769))"
BK0503,47868,39631.28571428572,13374,5010,1184.7857142857142,2103,9617,1128,35547,100,472,10035,5327,2376,18,682,92,4,105,4151.5,71.43802971370303,0,East New York-New Lots,Limited,Typical,Brooklyn,Brooklyn,"list(c(-73.901053, -73.900661, -73.899652, -73.898807, -73.899041, -73.900303, -73.903173, -73.906916, -73.907856, -73.9074, -73.908558, -73.909449, -73.907615, -73.9058, -73.903982, -73.897943, -73.895861, -73.89761, -73.893547, -73.891366, -73.889994, -73.886282, -73.884653, -73.882213, -73.878117, -73.869156, -73.867181, -73.868367, -73.869485, -73.871875, -73.872841, -73.8738, -73.874231, -73.878871, -73.878489, -73.882782, -73.883597, -73.886183, -73.888889, -73.88977, -73.890694, -73.892526, 
-73.893446, -73.894439, -73.896316, -73.897233, -73.899076, -73.900851, -73.900417, -73.901451, -73.901053, 40.662125, 40.660587, 40.660735, 40.657407, 40.657372, 40.657263, 40.655301, 40.654732, 40.654589, 40.652844, 40.652096, 40.651522, 40.649896, 40.648265, 40.646629, 40.650515, 40.651881, 40.653454, 40.655202, 40.652365, 40.651138, 40.652756, 40.653451, 40.654498, 40.65626, 40.660119, 40.660452, 40.662015, 40.663546, 40.666764, 40.668032, 40.669335, 40.670863, 40.670195, 40.668655, 40.668026, 
40.667905, 40.667521, 40.66712, 40.66699, 40.666852, 40.666581, 40.666446, 40.666297, 40.666019, 40.665878, 40.665608, 40.665346, 40.663806, 40.663659, 40.662125))"
BK0504,12553,29202,3161,1865,792,285,2309,2593,7038,66,466,3226,553,538,3,165,6,1,21,NA,0.4950507430948513,0,Spring Creek-Starrett City,Poor,Poor,Brooklyn,Brooklyn,"list(c(-73.891252, -73.889587, -73.880739, -73.878814, -73.878497, -73.877848, -73.876082, -73.874892, -73.878436, -73.881722, -73.882213, -73.884653, -73.886282, -73.889994, -73.891252, 40.650026, 40.648111, 40.639613, 40.637942, 40.638575, 40.639904, 40.643293, 40.645095, 40.649327, 40.653754, 40.654498, 40.653451, 40.652756, 40.651138, 40.650026))"
BK0505,34233,39314.666666666664,11048,4260,1156.7777777777778,778,10116,849,18794,13,3721,7543,5235,1920,4,349,63,2,72,8043.5,54.5015405189746,0,East New York-City Line,Limited,Typical,Brooklyn,Brooklyn,"list(c(-73.870112, -73.870562, -73.870943, -73.871303, -73.869447, -73.866668, -73.863919, -73.861764, -73.861064, -73.861318, -73.861712, -73.862028, -73.863349, -73.863787, -73.864101, -73.866027, -73.866295, -73.868132, -73.869808, -73.87157, -73.8712, -73.873276, -73.873604, -73.874871, -73.876096, -73.877339, -73.876565, -73.875588, -73.875275, -73.874957, -73.874624, -73.874231, -73.8738, -73.872841, -73.871875, -73.869485, -73.868367, -73.867181, -73.863815, -73.860676, -73.863171, -73.86036, 
-73.857615, -73.858025, -73.85843, -73.855685, -73.856063, -73.856425, -73.856847, -73.857282, -73.862845, -73.865554, -73.86833, -73.870112, 40.668014, 40.669798, 40.671335, 40.672858, 40.673143, 40.673544, 40.673942, 40.674233, 40.674343, 40.675021, 40.676611, 40.677886, 40.679352, 40.681114, 40.682373, 40.681918, 40.683189, 40.682666, 40.682187, 40.681686, 40.680222, 40.679921, 40.681121, 40.68082, 40.680456, 40.680055, 40.68018, 40.676189, 40.674918, 40.673651, 40.672389, 40.670863, 40.669335, 
40.668032, 40.666764, 40.663546, 40.662015, 40.660452, 40.656029, 40.654868, 40.658277, 40.659646, 40.660119, 40.661721, 40.663453, 40.663867, 40.665511, 40.667033, 40.668603, 40.670312, 40.669522, 40.669122, 40.668728, 40.668014))"
BK0571,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,5,1,5,1,13,1457,99.87644528015672,7,Highland Park-Cypress Hills Cemeteries (South),Excellent,Excellent,Brooklyn,Brooklyn,"list(c(-73.888924, -73.888191, -73.886505, -73.882203, -73.879075, -73.876681, -73.874054, -73.872603, -73.870948, -73.870128, -73.868059, -73.868672, -73.868717, -73.868917, -73.874021, -73.879616, -73.883777, -73.884517, -73.889607, -73.888924, 40.683126, 40.682556, 40.683349, 40.68536, 40.686882, 40.688088, 40.689299, 40.689921, 40.690502, 40.690709, 40.691184, 40.693855, 40.694622, 40.69515, 40.694191, 40.691106, 40.687863, 40.686691, 40.684214, 40.683126))"
