block,lot,neighborhood,price_diff,date_diff
31,1437,DOWNTOWN-FULTON FERRY,6.637578070930417,78710400
31,1449,DOWNTOWN-FULTON FERRY,5.917930737461385,79488000
31,1461,DOWNTOWN-FULTON FERRY,10.63829787234043,94176000
31,1467,DOWNTOWN-FULTON FERRY,3.609981390518513,77414400
32,1002,DOWNTOWN-FULTON FERRY,118.31190111735235,64368000
32,1005,DOWNTOWN-FULTON FERRY,2.8340080971659853,80006400
32,1006,DOWNTOWN-FULTON FERRY,31.25838070596234,275529600
32,1027,DOWNTOWN-FULTON FERRY,49.32735426008969,73094400
32,1039,DOWNTOWN-FULTON FERRY,12.450331125827807,114566400
32,1040,DOWNTOWN-FULTON FERRY,7.14285714285714,68342400
32,1102,DOWNTOWN-FULTON FERRY,19.304223587754432,177984000
32,1103,DOWNTOWN-FULTON FERRY,4.494568338077265,232416000
32,1107,DOWNTOWN-FULTON FERRY,8.90365138385425,242870400
32,1109,DOWNTOWN-FULTON FERRY,12.900244900736713,240710400
32,1111,DOWNTOWN-FULTON FERRY,7.428987618353977,175478400
32,1112,DOWNTOWN-FULTON FERRY,14.844080377976553,185760000
32,1115,DOWNTOWN-FULTON FERRY,7.711715296394139,114739200
32,1116,DOWNTOWN-FULTON FERRY,12.090560946414541,106358400
32,1117,DOWNTOWN-FULTON FERRY,3.831976787784752,109036800
32,1118,DOWNTOWN-FULTON FERRY,0.21711195884015488,151977600
32,1119,DOWNTOWN-FULTON FERRY,13.309352517985618,217555200
32,1120,DOWNTOWN-FULTON FERRY,10.79852496945486,102988800
35,1007,DOWNTOWN-FULTON FERRY,13.065326633165819,137289600
36,1007,DOWNTOWN-FULTON FERRY,2.127659574468077,228268800
36,1011,DOWNTOWN-FULTON FERRY,19749900,284860800
36,1013,DOWNTOWN-FULTON FERRY,16.28571428571428,133660800
36,1015,DOWNTOWN-FULTON FERRY,12.00000000000001,220320000
36,1018,DOWNTOWN-FULTON FERRY,6.440677966101704,188784000
36,1028,DOWNTOWN-FULTON FERRY,6.488549618320616,108259200
36,1034,DOWNTOWN-FULTON FERRY,3.2608695652173836,153532800
36,1035,DOWNTOWN-FULTON FERRY,33.723076923076924,265334400
36,1036,DOWNTOWN-FULTON FERRY,5.35714285714286,136857600
36,1052,DOWNTOWN-FULTON FERRY,21.27236580516898,251424000
36,1055,DOWNTOWN-FULTON FERRY,33.33333333333333,260582400
36,1056,DOWNTOWN-FULTON FERRY,10.8910891089109,176601600
36,1061,DOWNTOWN-FULTON FERRY,23.28767123287672,120700800
36,1061,DOWNTOWN-FULTON FERRY,6.666666666666665,158544000
36,1068,DOWNTOWN-FULTON FERRY,20.75471698113207,62208000
36,1086,DOWNTOWN-FULTON FERRY,8.404384896467732,261878400
36,1104,DOWNTOWN-FULTON FERRY,22.36286919831223,79488000
36,1113,DOWNTOWN-FULTON FERRY,23.236514522821583,202176000
36,1210,DOWNTOWN-FULTON FERRY,72.81875843931604,71971200
36,1218,DOWNTOWN-FULTON FERRY,6.486486486486487,124588800
36,1223,DOWNTOWN-FULTON FERRY,36.46723646723646,71798400
36,1232,DOWNTOWN-FULTON FERRY,15.530303030303028,251596800
41,1101,DOWNTOWN-FULTON FERRY,5.428864401149602,163987200
41,1106,DOWNTOWN-FULTON FERRY,9.11970081996909,75859200
41,1111,DOWNTOWN-FULTON FERRY,9.57918322620741,171331200
41,1113,DOWNTOWN-FULTON FERRY,2.2727272727272707,105408000
