Name,2018Ridership,Rank2018,Position
65 St,"3,601",337,POINT (-73.8987883783301 40.74971952935675)
67 Av,"8,774",176,POINT (-73.85286048434907 40.726505475813006)
69 St,"4,679",301,POINT (-73.8964029993185 40.746324999410284)
74-Bway /Jackson Hts-Roosevelt Av,"51,766",15,POINT (-73.89129866519697 40.74653969115889)
75 Av,"3,455",343,POINT (-73.83692369387158 40.71804465348743)
75 St-Elderts Ln,"3,464",342,POINT (-73.86728799944963 40.691290001246735)
80 St,"4,316",317,POINT (-73.85899200206335 40.67937100115432)
82 St-Jackson Hts,"14,626",101,POINT (-73.88369700071884 40.747658999559135)
85 St-Forest Pkwy,"3,699",334,POINT (-73.86008700006875 40.69242699966103)
88 St,"2,835",372,POINT (-73.85147000026086 40.67984300135503)
90 St-Elmhurst Av,"16,253",84,POINT (-73.87661299986985 40.74840800060913)
Aqueduct Racetrack,"1,901",398,POINT (-73.83591899965162 40.672096999172844)
Aqueduct-North Conduit Av,921,417,POINT (-73.83405799948723 40.668234001699815)
Astoria Blvd,"14,425",104,POINT (-73.91809500109238 40.77003699949086)
Astoria-Ditmars Blvd,"15,663",89,POINT (-73.9120340001031 40.775035666523664)
Beach 105 St,261,424,POINT (-73.82758075034528 40.58326843810286)
Beach 25 St,"1,792",403,POINT (-73.76135299762073 40.60006600105881)
Beach 36 St,887,418,POINT (-73.76817499939688 40.59539800166876)
Beach 44 St,693,420,POINT (-73.77601299999507 40.59294299908617)
Beach 60 St,"2,013",396,POINT (-73.7885219980118 40.59237400121235)
Beach 67 St-Arverne By The Sea,"2,103",391,POINT (-73.7969239998421 40.59092700078133)
Beach 90 St,"1,097",413,POINT (-73.81365140419632 40.58809156457325)
Beach 98 St,481,422,POINT (-73.82052058959523 40.58538569133279)
Briarwood-Van Wyck Blvd,"4,913",287,POINT (-73.82069263637443 40.70916181536946)
Broad Channel,285,423,POINT (-73.81583268782963 40.60840218069683)
Broadway,"8,473",179,POINT (-73.92582299919906 40.761431998800546)
Court Sq,"23,995",51,POINT (-73.94605470266329 40.747768121414325)
Elmhurst Av,"12,463",125,POINT (-73.8820347465864 40.74237007972169)
Far Rockaway-MottAv,"4,435",314,POINT (-73.75540499924732 40.603995001687544)
Flushing-Main St,"55,669",13,POINT (-73.83003000262508 40.75959999915012)
Forest Av,"3,124",365,POINT (-73.90307500005954 40.70441200087814)
Forest Hills-71 Av,"26,613",38,POINT (-73.84451672012669 40.72159430953587)
Fresh Pond Rd,"4,716",299,POINT (-73.8958980017196 40.70622599823048)
Grand Av-Newtown,"18,489",75,POINT (-73.87722085669182 40.736813418197144)
Howard Beach-JFK Airport,"3,376",348,POINT (-73.83030100071032 40.66047600004959)
Hunters Point Av,"7,205",210,POINT (-73.9489160009391 40.74221599986316)
Jamaica Center-Parsons-Archer,"36,368",26,POINT (-73.80109632298924 40.70206737621188)
Jamaica-179 St,"21,452",60,POINT (-73.78381700176453 40.712645666744045)
Jamaica-Van Wyck,"4,717",298,POINT (-73.81701287135405 40.70289855287313)
Junction Blvd,"21,100",64,POINT (-73.86952700103515 40.74914499948836)
Kew Gardens-Union Turnpike,"25,536",45,POINT (-73.8303702709878 40.714034819571026)
Mets - Willets Point,"4,606",305,POINT (-73.8456249984179 40.75462199881262)
Middle Village - Metropolitan Av,"3,225",355,POINT (-73.88957722978091 40.711431305058255)
Northern Blvd,"6,904",224,POINT (-73.90606508052358 40.752824829236076)
Ozone Park - Lefferts Blvd,"7,591",199,POINT (-73.82579799906613 40.68595099878361)
Parsons Blvd,"6,462",236,POINT (-73.80328900021885 40.707571999615695)
Queens Plaza,"12,747",119,POINT (-73.93713823965695 40.74891771986323)
Queensboro Plaza,"14,517",103,POINT (-73.9401635351909 40.750635651014804)
Rockaway Blvd,"7,534",201,POINT (-73.91194599726617 40.678339999883505)
Rockaway Park-Beach 116 St,696,419,POINT (-73.90895833584449 40.66261748815223)
Seneca Av,"1,818",402,POINT (-73.90758199885423 40.70291899894902)
Steinway St,"15,590",91,POINT (-73.9205264716827 40.75698735912575)
Sutphin Blvd,"4,291",318,POINT (-73.81083299897232 40.70541799906764)
Sutphin Blvd-Archer Av-JFK Airport,"23,388",54,POINT (-73.80800471963833 40.700382424235)
Vernon Blvd - Jackson Av,"15,093",96,POINT (-73.95358099875249 40.74262599969749)
Woodhaven Blvd,"4,771",294,POINT (-73.85205199740794 40.69370399880105)
Woodhaven Blvd,"20,704",66,POINT (-73.86943208612348 40.73309737380972)
Woodside-61 St,"16,501",83,POINT (-73.90298400173006 40.745630001138395)
