Name,2018Ridership,Rank2018,Position
79 St,"6,177",245,POINT (-74.00058287431507 40.61315892569516)
8 Av,"11,474",133,POINT (-74.00257800104762 40.73977666638199)
86 St,"1,928",397,POINT (-73.97621799859327 40.78864400073892)
86 St,"11,338",136,POINT (-73.95177090964917 40.77786104333163)
9 Av,"5,344",275,POINT (-73.99444874451204 40.64648407726636)
Alabama Av,"2,147",389,POINT (-73.89852600159652 40.676998000003756)
Atlantic Av,"1,842",400,POINT (-73.9030969995401 40.67534466640805)
Atlantic Av-Barclays Ctr,"43,211",19,POINT (-73.97880999956767 40.683665667279435)
Avenue H,"3,418",345,POINT (-73.96151793942495 40.62920837758969)
Avenue I,"1,096",414,POINT (-73.97606933170925 40.62501744019143)
Avenue J ,"6,058",250,POINT (-73.96069316246925 40.625022819915166)
Avenue M ,"6,001",255,POINT (-73.9592431052215 40.617397744443736)
Avenue N ,"2,087",392,POINT (-73.97404850873143 40.61435671190883)
Avenue P ,"1,710",408,POINT (-73.97300281528751 40.608842808949916)
Avenue U ,"1,042",415,POINT (-73.97337641974885 40.59592482551748)
Avenue U ,"2,627",380,POINT (-73.97908400099428 40.597235999920436)
Avenue U ,"7,323",203,POINT (-73.95581122316301 40.59930895095475)
Avenue X ,"2,662",378,POINT (-73.97426599968905 40.589449666625285)
Bay 50 St ,"2,674",377,POINT (-73.98376500045946 40.58884066651933)
Bay Pkwy ,"7,719",194,POINT (-73.9936762000529 40.601950461572315)
Bay Pkwy ,623,421,POINT (-73.9752569782215 40.62073162316788)
Bay Pkwy ,"7,261",206,POINT (-73.98178001069293 40.61145578989005)
Bay Ridge Av ,"7,236",208,POINT (-74.02337699950728 40.63496666682377)
Bay Ridge-95 St ,"5,812",258,POINT (-74.03087600085765 40.61662166725951)
Bedford Av ,"26,603",39,POINT (-73.95666499806525 40.71717399858899)
Bedford-Nostrand Avs  ,"8,821",173,POINT (-73.95352200064022 40.68962700158444)
Bergen St ,"3,653",335,POINT (-73.97499915116808 40.68086213682956)
Bergen St ,"11,174",137,POINT (-73.99075649573565 40.68611054725977)
Beverley Rd,"3,350",349,POINT (-73.96435779623125 40.64390459860419)
Beverly Rd ,"4,255",319,POINT (-73.94884798381702 40.64512351894373)
Brighton Beach ,"12,065",128,POINT (-73.96135378598797 40.577710196642435)
Broadway ,"4,467",312,POINT (-73.95031225606621 40.706126576274166)
Broadway Junction ,"8,142",186,POINT (-73.90428999746412 40.67936600147369)
Bushwick Av-Aberdeen St ,"2,079",394,POINT (-73.90526176305106 40.68286062551184)
Canarsie-Rockaway Pkwy ,"11,947",130,POINT (-73.90185000017287 40.64665366739528)
Carroll St ,"11,562",132,POINT (-73.99494697998841 40.68027335170176)
Central Av ,"2,393",386,POINT (-73.92724299902838 40.69787300011831)
Chauncey St ,"3,387",347,POINT (-73.91038357033376 40.68285130087804)
Church Av ,"9,193",169,POINT (-73.94945514035334 40.6508606878022)
Church Av ,"16,528",82,POINT (-73.96288246192114 40.65049324646484)
Church Av ,"9,492",165,POINT (-73.97972116229084 40.64427200012998)
Clark St ,"5,275",279,POINT (-73.99308599821961 40.69746599996469)
Classon Av ,"5,301",277,POINT (-73.95999000137212 40.68888900026455)
Cleveland St ,"2,975",369,POINT (-73.8851940021643 40.679777998961164)
Clinton-Washington Avs  ,"7,068",215,POINT (-73.96583799857275 40.68326299912644)
Clinton-Washington Avs ,"5,025",286,POINT (-73.9667959986695 40.68809400106055)
Coney Island-Stillwell Av ,"13,203",115,POINT (-73.9812359981396 40.57728100006751)
Cortelyou Rd ,"6,276",244,POINT (-73.96379005505493 40.6409401651401)
Court St /Borough Hall ,"35,599",28,POINT (-73.99015100090539 40.692403999991036)
Crescent St ,"4,539",308,POINT (-73.87392925215778 40.68315265707736)
Crown Heights-Utica Av ,"25,336",48,POINT (-73.93293256081851 40.66897831107809)
Cypress Hills ,"1,457",411,POINT (-73.87332199882995 40.689616000838754)
DeKalb Av  ,"22,069",59,POINT (-73.98177094440949 40.690648119969794)
DeKalb Av ,"12,638",120,POINT (-73.91823200219723 40.70369299961644)
Ditmas Av  ,"3,904",328,POINT (-73.97817199965161 40.63611866666291)
East 105 St ,"3,798",329,POINT (-73.89954769388724 40.65046878544699)
