geoid,borough_tract_id,state_fips,county_fips,tract_id,county_name,borough_name,borough_id,nta_id,nta_name,puma_id,puma_name,Type_1.19,geometry,wkt_multipolygon
36047022000,3022000,36,047,022000,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Not Losing Low-Income Households,"list(list(c(986597.8862691, 986436.7842537, 985952.1787688, 984303.0482182, 985098.338515, 986597.8862691, 170839.2868104, 170636.3769756, 170025.0592137, 171332.1564688, 172030.5739884, 170839.2868104)))","MULTIPOLYGON (((986597.9 170839.3, 986436.8 170636.4, 985952.2 170025.1, 984303 171332.2, 985098.3 172030.6, 986597.9 170839.3)))"
36047022100,3022100,36,047,022100,Kings,Brooklyn,3,BK61,Crown Heights North,4006,Brooklyn Community District 8--Crown Heights North & Prospect Heights,LI - Ongoing Gentrification,"list(list(c(997289.6410785, 997375.6547245, 997350.9041274, 997304.5853509, 996259.8169508, 996676.9747635, 996649.6913627, 997289.6410785, 186559.6452073, 185942.1499099, 185332.7907802, 184683.1722425, 184901.013258, 186421.2629598, 186734.609029, 186559.6452073)))","MULTIPOLYGON (((997289.6 186559.6, 997375.7 185942.1, 997350.9 185332.8, 997304.6 184683.2, 996259.8 184901, 996677 186421.3, 996649.7 186734.6, 997289.6 186559.6)))"
36047022200,3022200,36,047,022200,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Ongoing Displacement of Low-Income Households,"list(list(c(987245.3819777, 986921.4355149, 986597.8862691, 985098.338515, 985495.6214197, 985893.4156769, 987245.3819777, 171656.0701937, 171248.3215075, 170839.2868104, 172030.5739884, 172379.3265103, 172729.3719402, 171656.0701937)))","MULTIPOLYGON (((987245.4 171656.1, 986921.4 171248.3, 986597.9 170839.3, 985098.3 172030.6, 985495.6 172379.3, 985893.4 172729.4, 987245.4 171656.1)))"
36047022400,3022400,36,047,022400,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Ongoing Gentrification,"list(list(c(987442.6517474, 987283.7325328, 987891.8830571, 987731.0994623, 987245.3819777, 985893.4156769, 986489.7169872, 986887.0292498, 987442.6517474, 173161.3460702, 172955.2648481, 172474.1361701, 172268.2996989, 171656.0701937, 172729.3719402, 173252.0480863, 173601.6733501, 173161.3460702)))","MULTIPOLYGON (((987442.7 173161.3, 987283.7 172955.3, 987891.9 172474.1, 987731.1 172268.3, 987245.4 171656.1, 985893.4 172729.4, 986489.7 173252, 986887 173601.7, 987442.7 173161.3)))"
36047022600,3022600,36,047,022600,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Ongoing Displacement of Low-Income Households,"list(list(c(988163.5854708, 988969.1350863, 989151.53631, 988665.7596213, 987442.6517474, 986887.0292498, 987285.9493008, 987482.6451354, 988163.5854708, 173566.5619917, 172931.8286749, 172804.7816582, 172193.175322, 173161.3460702, 173601.6733501, 173949.5794364, 174111.003058, 173566.5619917)))","MULTIPOLYGON (((988163.6 173566.6, 988969.1 172931.8, 989151.5 172804.8, 988665.8 172193.2, 987442.7 173161.3, 986887 173601.7, 987285.9 173949.6, 987482.6 174111, 988163.6 173566.6)))"
36047022700,3022700,36,047,022700,Kings,Brooklyn,3,BK69,Clinton Hill,4004,Brooklyn Community District 2--Brooklyn Heights & Fort Greene,MHI - Advanced Gentrification,"list(list(c(997182.9122771, 997207.4890689, 996609.8325821, 996649.6913627, 994970.6000159, 994880.2949814, 995665.215115, 997020.2714053, 997182.9122771, 187258.5579396, 187098.0925157, 187009.5492676, 186734.609029, 187193.0004881, 188004.4620102, 188124.0058803, 188329.6977945, 187258.5579396)))","MULTIPOLYGON (((997182.9 187258.6, 997207.5 187098.1, 996609.8 187009.5, 996649.7 186734.6, 994970.6 187193, 994880.3 188004.5, 995665.2 188124, 997020.3 188329.7, 997182.9 187258.6)))"
36047022800,3022800,36,047,022800,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Not Losing Low-Income Households,"list(list(c(989970.750931, 989726.6042858, 988503.5520149, 988665.7596213, 989151.53631, 988969.1350863, 989683.2907939, 989970.750931, 171331.6151931, 171019.5291258, 171988.4120933, 172193.175322, 172804.7816582, 172931.8286749, 173318.2485721, 171331.6151931)))","MULTIPOLYGON (((989970.8 171331.6, 989726.6 171019.5, 988503.6 171988.4, 988665.8 172193.2, 989151.5 172804.8, 988969.1 172931.8, 989683.3 173318.2, 989970.8 171331.6)))"
36047022900,3022900,36,047,022900,Kings,Brooklyn,3,BK69,Clinton Hill,4004,Brooklyn Community District 2--Brooklyn Heights & Fort Greene,MHI - Advanced Gentrification,"list(list(c(996939.0215566, 997020.2714053, 995665.215115, 995462.9416592, 996817.2107179, 996939.0215566, 188863.5682587, 188329.6977945, 188124.0058803, 189458.9967381, 189664.5214159, 188863.5682587)))","MULTIPOLYGON (((996939 188863.6, 997020.3 188329.7, 995665.2 188124, 995462.9 189459, 996817.2 189664.5, 996939 188863.6)))"
36047023000,3023000,36,047,023000,Kings,Brooklyn,3,BK88,Borough Park,4014,"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",LI - Ongoing Displacement of Low-Income Households,"list(list(c(988665.7596213, 988503.5520149, 989726.6042858, 989241.490378, 988630.0314422, 988791.8686873, 988180.4719464, 988342.8143795, 987731.0994623, 987891.8830571, 987283.7325328, 987442.6517474, 988665.7596213, 172193.175322, 171988.4120933, 171019.5291258, 170407.2009878, 170891.924454, 171095.4447015, 171580.191178, 171784.1898193, 172268.2996989, 172474.1361701, 172955.2648481, 173161.3460702, 172193.175322)))","MULTIPOLYGON (((988665.8 172193.2, 988503.6 171988.4, 989726.6 171019.5, 989241.5 170407.2, 988630 170891.9, 988791.9 171095.4, 988180.5 171580.2, 988342.8 171784.2, 987731.1 172268.3, 987891.9 172474.1, 987283.7 172955.3, 987442.7 173161.3, 988665.8 172193.2)))"
36047023100,3023100,36,047,023100,Kings,Brooklyn,3,BK69,Clinton Hill,4004,Brooklyn Community District 2--Brooklyn Heights & Fort Greene,MHI - Advanced Gentrification,"list(list(c(995462.9416592, 995665.215115, 994880.2949814, 994636.7290902, 994556.3488707, 995341.2423928, 995462.9416592, 189458.9967381, 188124.0058803, 188004.4620102, 189606.9197774, 190140.7080273, 190259.9108938, 189458.9967381)))","MULTIPOLYGON (((995462.9 189459, 995665.2 188124, 994880.3 188004.5, 994636.7 189606.9, 994556.3 190140.7, 995341.2 190259.9, 995462.9 189459)))"
